Word,Frequency
Schezwan,1
Paneer,10
Paratha,2
recipe,31
is,74
out,33
now,9
on,40
my,19
YouTube,19
channel!,6
Check,12
it,29
out!,4
My,2
schezwan,2
paneer,8
paratha,2
a,93
Quesadilla,1
inspired,1
info,1
Chinese,3
which,16
super,3
easy,6
to,63
prep,1
&,55
turns,5
be,4
delicious.,1
Whole,1
wheat,3
"chapati,",1
"filling,",3
Frankie,1
masala,5
cheese!,1
the,97
now!,5
.,56
#recipe,6
#foodporn,12
#paratha,1
#indianfood,9
#streetfoodindia,9
#quesadilla,1
#quesadillas,1
#foodie,8
#foodpics,6
#mumbaistreetfood,5
#streetfood,17
#sanjyotkeer,10
#yourfoodlab,10
Atom,3
Bomb,3
Chaat,3
by,13
Chef,4
@sanjyotkeer,4
ATOM,2
BOMB,2
CHAAT!!,2
What???,2
You,6
guys,3
went,2
crazy,2
after,2
I,32
shot,2
this,25
shared,4
stories.,2
So,8
finally,4
and,78
it’s,4
an,11
amazing,4
chaat,10
healthy,12
full,11
of,64
flavor.,3
Scooped,2
Boiled,2
Aloo,3
cups,5
filled,2
with,49
filling,4
topped,2
home,2
made,6
"chutneys,",3
flavor,5
bomb,6
too.,4
have,22
taken,2
inspiration,2
from,16
Kuliya,4
prepped,6
scooping,2
fruits,2
veggies,2
make,10
them,2
then,7
adding,2
it.,6
version,2
am,4
calling,2
because,2
looks,2
like,14
small,4
atom,2
in,49
true,2
sense!,2
NOW!,2
Cheers!,9
#chaat,2
#aloo,2
#aloorecipes,2
#chaatlover,2
#chaatlove,2
#indianstreetfood,6
#recipes,2
#inovation,2
#atombomb,2
#streetphotography,2
Healthy,2
Peri,4
Wrap,2
What’s,4
up,10
guys!,2
keep,2
asking,2
me,8
for,29
some,18
quick,3
recipes,2
one,11
beautiful,3
recipe.,3
peri,6
veggie,2
green,2
whole,4
wrap,2
"spinach,",2
garlic,6
dip,5
using,2
curd,2
not,5
mayo,2
hot,6
sauce,8
that,22
kick.,2
The,17
roll,2
comes,4
together,7
beautifully,3
tastes,2
incredible.,2
This,6
how,5
you,21
